序号,UP主名称,作品ID,作品标题,发布时间,获赞数,分享数,评论数,投币数,收藏数,弹幕数,播放数
142,原神,BV1z84y1P7FY,《原神》剧情PV-「魔女的茶会」,2023-03-07 18:00:02,217365,22887,12713,45535,34148,5036,2514754
143,原神,BV1m24y1b7VQ,《原神》拾枝杂谈-「迪希雅：热沙的赤情」,2023-03-01 12:00:00,88433,2992,4560,10426,6102,3032,1023734
144,原神,BV1Fo4y1a7Q9,《原神》角色演示-「迪希雅：炎狮灼烁」,2023-02-28 12:00:00,208625,32470,9134,46941,24487,7133,2754341
145,原神,BV1ys4y1j76C,《原神》EP - 掬尘熠金之梦,2023-02-27 12:00:00,93686,6787,4938,12584,9917,2594,919769
146,原神,BV1vs4y1b7rU,《原神》迪希雅角色PV——「沙际晨光」,2023-02-23 12:00:47,325697,47778,12558,96679,38583,7251,3496429
147,原神,BV1zj411P717,《原神》寻味之旅——「璃月食集」第三期,2023-02-21 12:00:00,165329,12266,5212,45252,19931,4532,1512085
148,原神,BV1dG4y1P7Pq,《原神》3.5版本「风花的呼吸」前瞻特别节目,2023-02-17 21:35:00,103979,4567,9719,15151,11572,18452,1773549
149,原神,BV1ZM4y1f7FH,《原神》3.5版本PV：「风花的呼吸」,2023-02-17 20:45:01,196759,16169,17094,36820,23886,10234,6128744
150,原神,BV1KG4y1T76A,《原神》EP - 拈骰冥思之夜,2023-02-07 12:00:00,172946,10305,8440,32659,14738,10122,1759474
151,原神,BV1FY411Q7MX,《原神》「流光拾遗之旅」——仙闻篇·内画,2023-01-28 12:00:00,215188,14020,7952,87838,25347,6173,1582773
152,原神,BV11R4y187kj,《原神》「流光拾遗之旅」——仙闻篇·木版年画,2023-01-24 12:00:00,239014,17135,8228,100091,29797,6345,1622699
153,原神,BV1jR4y1Y76v,《原神》海灯节CM短片：明霄幻梦,2023-01-22 18:00:51,629333,129927,26328,332721,212296,24274,6029637
154,原神,BV1dM411t7Ls,《原神》磬弦奏华夜活动过场动画-「虹歌灯宴」,2023-01-21 19:00:00,237369,29963,11231,86240,61131,18413,2884711
155,原神,BV1bY411X7Tx,《原神》剧情PV-「余音萦心」,2023-01-21 18:00:06,357915,51878,15483,145116,106786,12323,3782371
156,原神,BV1Qd4y1V7he,《原神》2023新春短片-「鱼灯」,2023-01-19 18:00:00,599646,137257,19958,440196,146228,40913,4666323
157,原神,BV1jK411k79y,《原神》拾枝杂谈-「瑶瑶：樨馨云外飘」,2023-01-19 12:00:00,106754,3582,2973,10557,7559,3670,1057880
158,原神,BV13x4y1u7wJ,《原神》拾枝杂谈-「艾尔海森：诠辩深妙」,2023-01-18 12:00:00,133052,5692,5602,15749,12147,6494,1500272
159,原神,BV1uW4y1G7rM,《原神》角色演示-「艾尔海森：思而后行」,2023-01-17 12:00:56,513514,212060,35705,220451,142323,34818,8868236
160,原神,BV1ev4y117Ls,《原神》角色演示-「瑶瑶：仙桂莹澈」,2023-01-16 12:00:56,305784,63211,13204,59738,32927,10613,3340806
