播主名称,ID,头像,认证信息,行业,内容标签,总粉丝,飞瓜指数,总作品,总点赞,,,,,,
原神,yuanshen_mihoyo,https://p11.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_980d58907aeb49ad98eee954b5737a87.heic?from=2956013662,上海米哈游影铁科技有限公司,游戏,,8522435,1043.1,1349,148913469,,,,,,
标题,视频发布时间,视频时长,视频链接,视频热度,热词Top3,视频销售额,视频销量,点赞,评论,分享,收藏,互动量,互动率,GPM,播放量
#原神 原神｜我没有特别的故事作为回报…这包点心送予你。,2023/3/14 12:03,12秒,https://www.douyin.com/share/video/7210247563377642812/?mid=7210247639462464315,63.45,"情人节,魈宝,白色",--,--,474273,21812,22704,32163,550952,7.37%,0,7475832
#原神 原神｜本大爷今天带来了我的「挚爱」，特意分享给你！,2023/3/14 12:05,10秒,https://www.douyin.com/share/video/7210248208398765349/?mid=7210248301189335845,50.56,"一斗,棒棒糖,好帅",--,--,291622,10464,11225,14302,327613,7.47%,0,4387604
#原神 原神｜你也感兴趣？那便来选一颗你喜欢的吧。,2023/3/14 12:07,15秒,https://www.douyin.com/share/video/7210248562985291066/?mid=7210248688990489402,47.96,"绫人,情人节,白色",--,--,181511,8609,6954,7386,204460,7.93%,0,2578459
#原神 #风花的呼吸 《原神》角色演示-「米卡：绘羽的领行」,2023/3/17 12:01,1分5秒,https://www.douyin.com/share/video/7211360308235865400/?mid=7211360396765170491,52.97,"米卡,声音,可莉",--,--,257409,14376,8731,8676,289192,7.83%,0,3692847
#原神 《原神》EP - 春露漫散之虹,2023/3/20 12:02,2分39秒,https://www.douyin.com/share/video/7212473512659864889/?mid=7212473844103711547,25.54,"小姨,米哈游,申鹤",--,--,121785,7724,7834,4955,142298,9.61%,0,1480915
#原神 诺艾尔生日快乐｜不知道你是喜欢先吃松饼，还是先吃水果呢？,2023/3/21 12:01,13秒,https://www.douyin.com/share/video/7212844742378294565/?mid=7212844815686404924,20.27,"生日快乐,诺艾尔,米哈游",--,--,121975,3361,1137,3104,129577,8.80%,0,1472264
#原神 #风花的呼吸 《原神》拾枝杂谈-「米卡：银星之伴」,2023/3/21 18:01,5分41秒,https://www.douyin.com/share/video/7212937346663189815/?mid=7212937603375516472,14.71,"米哈游,米卡,优菈",--,--,34638,5882,524,962,42006,4.99%,0,842554
#原神同人剧场  #原神  #沙画  原神同人剧场|创作者@胡雪朗 作品展示，感谢旅行者的沙画创作。,2023/3/22 18:04,1分36秒,https://www.douyin.com/share/video/7213309460415024442/?mid=7213309527733881659,16.44,"米哈游,王手,绫华",--,--,50680,2978,2415,2011,58084,6.18%,0,940454
"#原神 #风花的呼吸 亲爱的旅行者，「灵蕈棋阵」活动现已开启~
整体玩法时间：2023/03/23 10:00 ~ 2023/04/03 03:59",2023/3/23 11:01,17秒,https://www.douyin.com/share/video/7213571197244558650/?mid=7213571348252478269,11.3,"米哈游,能不能,原石",--,--,16741,1922,183,385,19231,3.15%,0,609707
#原神 神里绫人生日快乐｜嗯，既然兴致到了，也不妨过两招。,2023/3/26 12:00,14秒,https://www.douyin.com/share/video/7214699925706247483/?mid=7214699981616352056,51.69,"生日快乐,绫人,生日",--,--,310269,15096,9382,9982,344729,9.85%,0,3500097
#原神 #风花的呼吸 #原神风物之歌《原神》「风物之歌」主题视频征集活动?结果揭晓，感谢旅行者的参加与投稿。（本次获奖作品中涉及的内容均为玩家二次创作，不代表游戏内实际剧情及设定。）我们将通过原神官方账号以私信方式联系获奖旅行者，请旅行者于2023年4月2日18:00前提交获奖信息(逾期视为自动放弃奖励)，活动奖励将在获奖信息收集完毕后通过邮寄方式送达旅行者手中，请获奖的旅行者耐心等待~,2023/3/28 18:06,图文视频,https://www.douyin.com/share/video/7215536382670916921/?mid=7206254243026651962,11.16,"米哈游,原石,原神",--,--,16247,597,70,311,17225,2.66%,0,647880
#原神 #盛典与慧业旅行者们大家好，现在是派蒙的特别节目预告时间> < 《原神》3.6版本「盛典与慧业」前瞻特别节目将于3月31日（本周五）晚20:00正式开启。,2023/3/29 12:01,图文视频,https://www.douyin.com/share/video/7215813429859224890/?mid=7119013230357629727,16.74,"复刻,草神,前瞻",--,--,54189,4272,3835,1589,63885,4.09%,0,1562011
"#原神   #原神同人绘  《原神》3月同人绘画展示，感谢旅行者们的创作。 
*本次作品中涉及的角色内容均为玩家二次创作，不代表游戏内实际剧情以及设定。",2023/3/30 18:12,1分18秒,https://www.douyin.com/share/video/7216279988872498490/?mid=7216280066316159805,16.52,"米卡,原石,绫华",--,--,51598,1257,444,1926,55225,6.35%,0,870138
"#原神  #风花的呼吸  
亲爱的旅行者，「有香自西来·寻味北地」活动现已开启~
活动时间：2023/03/31 10:00 ~ 2023/04/10 03:59",2023/3/31 11:01,15秒,https://www.douyin.com/share/video/7216540142280953149/?mid=7216540211646434103,10.42,"老米,能不能,米哈游",--,--,13941,819,150,347,15257,2.31%,0,661731
#原神  #盛典与慧业 《原神》3.6版本PV：「盛典与慧业」,2023/3/31 20:35,4分34秒,https://www.douyin.com/share/video/7216688047889403191/?mid=7216688109692734211,55.82,"卡维,白术,散宝",--,--,336264,12146,15425,15082,378917,8.22%,0,4425353
#原神 #盛典与慧业 3.6版本前瞻特别节目|开场,2023/3/31 23:00,2分24秒,https://www.douyin.com/share/video/7216725224904002872/?mid=7216725383297944378,12.48,"米哈游,草神,公司",--,--,21414,947,152,649,23162,3.39%,0,683449
#原神 #盛典与慧业 《原神》3.6版本「盛典与慧业」前瞻特别节目回顾,2023/3/31 23:03,图文视频,https://www.douyin.com/share/video/7216726116680224055/?mid=7216725428223085371,14.46,"草神,原石,让我",--,--,32753,1913,1355,1214,37235,3.72%,0,1002212
"#原神 #原神喵 #盛典与慧业 「...喵。喵喵喵。」 
——白天十分沉静，夜晚却又十分活跃的猫咪。",2023/4/1 12:00,12秒,https://www.douyin.com/share/video/7216926400127798588/?mid=7216926425876548389,70.07,"官方,迪卢克,愚人节",--,--,580086,47459,62835,24499,714879,0.00%,0,7928839
"#原神 #原神喵 #盛典与慧业 「喵喵喵，喵喵，喵喵！」
——经常在街道上巡视的认真猫咪。",2023/4/1 12:05,15秒,https://www.douyin.com/share/video/7216927673950506298/?mid=7216927755546495802,58.25,"官方,愚人节,刻晴",--,--,394679,14774,20904,14394,444751,0.00%,0,5243202
"#原神 #原神喵 #盛典与慧业 「喵，喵。」
——身手矫健，散发着低调气质的猫咪。",2023/4/1 12:10,12秒,https://www.douyin.com/share/video/7216928878084771133/?mid=7216928959924013881,50.32,"官方,愚人节,阿忍",--,--,291822,8965,13343,9807,323937,0.00%,0,4575444
"#原神 #原神喵 #盛典与慧业 「喵？喵。」
——总是独来独往的猫咪，对人爱答不理。",2023/4/1 12:15,12秒,https://www.douyin.com/share/video/7216930253640371516/?mid=7216930354882415419,68.19,"官方,愚人节,猫猫",--,--,511719,53897,50854,33420,649890,0.00%,0,5746945
#原神  #盛典与慧业  3.6版本前瞻特别节目|白术角色介绍,2023/4/1 14:00,3分59秒,https://www.douyin.com/share/video/7216717035236052285/?mid=7216717389884541756,14.23,"白术,秋裤,豆豆鞋",--,--,31153,2711,1159,1067,36090,0.00%,0,906465
#原神  #盛典与慧业  3.6版本前瞻特别节目|卡维角色介绍,2023/4/1 18:00,4分39秒,https://www.douyin.com/share/video/7216718363660242237/?mid=7216718494258203448,10.64,"卡维,米哈游,纳西妲",--,--,14584,913,378,722,16597,0.00%,0,577328
#原神  #盛典与慧业  3.6版本前瞻特别节目|「盛典与慧业」活动介绍,2023/4/1 20:00,5分2秒,https://www.douyin.com/share/video/7216719123005328700/?mid=7216719303901563705,9.32,"愚人节,视频,官方",--,--,11021,562,113,415,12111,0.00%,0,552466
#原神  #盛典与慧业  3.6版本前瞻特别节目|「须弥」新区域介绍,2023/4/2 12:00,3分24秒,https://www.douyin.com/share/video/7216720492000972069/?mid=7216720613505977147,12.92,"草神,花玲,复刻",--,--,23536,935,411,1090,25972,0.00%,0,726990
#原神  #盛典与慧业  3.6版本前瞻特别节目|「吞噬神躯的巨龙」介绍,2023/4/2 16:00,1分53秒,https://www.douyin.com/share/video/7216721364818890041/?mid=7216721546331556666,14.17,"酸菜,老坛酸菜,草龙",--,--,30778,1497,533,1038,33846,0.00%,0,996121
#原神  #盛典与慧业  3.6版本前瞻特别节目|须弥OST2 即将上线,2023/4/2 20:00,39秒,https://www.douyin.com/share/video/7216721909499563301/?mid=7216722051875326780,11.08,"狂魔哥,狂魔,米哈游",--,--,15964,797,118,469,17348,0.00%,0,728992
#原神 #原神必胜客  必胜客×原神主题联动今日正式开启！,2023/4/3 10:48,20秒,https://www.douyin.com/share/video/7217650008030563639/?mid=7217650097419586341,17.66,"狂魔哥,翅膀,必胜客",--,--,66736,5663,3750,2456,78605,0.00%,0,1544990
#原神 迪希雅生日快乐｜你说我今天的妆容很好看？哈哈，谢谢！,2023/4/7 12:01,13秒,https://www.douyin.com/share/video/7219152990706421003/?mid=7219153092846504759,44.05,"生日快乐,迪希雅,温迪",--,--,202124,3347,1176,4326,210973,0.00%,0,2127525
#原神 檐宇猫游 · 绮良良|歧尾骏足，通达万户,2023/4/10 14:11,视频已删除,https://www.douyin.com/share/video/7220299829736394039/?mid=7119013230357629727,16.93,,--,--,29942,6481,13311,0,49734,0.00%,0,508731
#原神 檐宇猫游 · 绮良良|歧尾骏足，通达万户,2023/4/10 16:44,图文视频,https://www.douyin.com/share/video/7220339276192566585/?mid=7059978932795345703,25.21,"官方,猫猫,oc",--,--,83729,12502,14610,4131,114972,0.00%,0,1579554
#原神 #盛典与慧业 《原神》EP - 如风如露之思,2023/4/11 12:04,4分9秒,https://www.douyin.com/share/video/7220638244084452668/?mid=7220638306101398275,16.75,"纳西妲,草神,不歪",--,--,54409,3247,1829,2295,61780,0.00%,0,1335168
#原神 #盛典与慧业 《原神》3.6版本「盛典与慧业」现已上线~,2023/4/12 10:04,12秒,https://www.douyin.com/share/video/7220978480241036599/?mid=7220978569730607930,16.42,"草神,米哈游,游戏",--,--,50498,3108,504,1349,55459,0.00%,0,1047975
#原神 #盛典与慧业 《原神》EP - 四时旋舞之熙,2023/4/12 12:00,4分49秒,https://www.douyin.com/share/video/7221008449004375355/?mid=7221008526146128677,13.23,"米哈游,草神,妮露",--,--,25210,2617,470,763,29060,0.00%,0,856908
"#原神  #盛典与慧业  #合剂演进 
亲爱的旅行者，「合剂演进」活动现已开启~
活动时间：2023/04/13 10:00 ~ 2023/04/24 03:59",2023/4/13 11:00,15秒,https://www.douyin.com/share/video/7221056917106478395/?mid=7221056990397893434,16.24,"草神,米哈游,深渊",--,--,48597,3616,363,957,53533,0.00%,0,1534259
#原神 《原神》寻味之旅——「璃月食集」第四期,2023/4/17 12:02,7分21秒,https://www.douyin.com/share/video/7222864237444500773/?mid=7222864356080503608,16.3,"魈宝,杏仁豆腐,贺图",--,--,49320,2026,1806,2814,55966,0.00%,0,982752
#原神#盛典与慧业  魈生日快乐｜等吃完这盘杏仁豆腐，要一起下去巡视吗？,2023/4/17 12:10,18秒,https://www.douyin.com/share/video/7222866240317050149/?mid=7222866340804152122,54.66,"生日快乐,快乐,魈宝生日",--,--,321477,16735,12762,18959,369933,9.80%,0,3579872
#原神 「三千娑世御咏歌-演绎版」：《原神》须弥2 OST宣传MV,2023/4/19 12:01,3分25秒,https://www.douyin.com/share/video/7223606216319175992/?mid=7223606313262304056,52.49,"散兵,音乐,好听",--,--,286509,12291,14978,18844,332622,9.34%,0,3358408
#原神 夜兰生日快乐｜随我来吧，二楼已经备好了雅座。,2023/4/20 12:00,14秒,https://www.douyin.com/share/video/7223977110338129189/?mid=7223977191590153021,55.84,"夜兰,生日快乐,生日",--,--,367175,9480,7499,13864,398018,8.51%,0,4512410
"#原神  #盛典与慧业  #风沙轰鸣 
亲爱的旅行者，「风沙轰鸣」活动现已开启~
活动时间：2023/04/21 10:00 ~ 2023/05/01 03:59",2023/4/21 11:02,16秒,https://www.douyin.com/share/video/7224333046831484220/?mid=7224333103509097273,12.39,"活动,米哈游,鸣潮",--,--,21082,1013,152,389,22636,2.93%,0,757095
#原神 #盛典与慧业 《原神》过场动画-「归乡」,2023/4/21 12:00,1分51秒,https://www.douyin.com/share/video/7224348201107737914/?mid=7224348282851232572,15.29,"米哈游,深渊,原神",--,--,39501,1985,1358,2117,44961,4.67%,0,915634
#原神同人剧场 #原神 #原神摄影  原神同人剧场|创作者@南歌子籽?? 作品展示，感谢旅行者的创作。,2023/4/25 11:06,图文视频,https://www.douyin.com/share/video/7225818508406410533/?mid=7225816412674018107,11.87,"深渊,原神,能不能",--,--,18966,993,292,562,20813,3.12%,0,647728
#原神 #盛典与慧业 《原神》白术角色PV——「良方难觅」,2023/4/26 12:02,1分55秒,https://www.douyin.com/share/video/7226204115888639291/?mid=7226204218636438329,58.26,"白术,长生,安东尼",--,--,374607,17398,14415,13161,419581,8.23%,0,4938945
"#原神 #盛典与慧业 亲爱的旅行者，「盛典与慧业」活动现已开启~
活动时间：2023/04/27 10:00 ~ 2023/05/15 03:59",2023/4/27 11:57,1分19秒,https://www.douyin.com/share/video/7226573767495994681/?mid=7226573841928162109,9.31,"阿帽,米哈游,调皮",--,--,10334,590,39,185,11148,2.82%,0,387487
"#原神  #原神通路计划  #盛典与慧业 
《原神》「通路计划」挑战视频征集活动今日开启，期待旅行者的精彩视频投稿~
〓活动详情〓
活动时间：4月27日——5月11日
参与方式与活动奖励：见视频详情
〓注意事项〓
一、禁止发布一切违反法律法规与社区规则的内容；
二、禁止发布与本话题无关的内容（包括但不限于含有广告链接、其他宣传等内容）；
三、本次活动旅行者可多次参与，每人至多获得一个奖项，奖励不可叠加，以最高奖项为准；
四、本次活动根据作品的内容、评论点赞等因素进行综合评价；
五、获奖名单（活动发布平台的账号昵称）将在活动结束后10个工作日内公布，请获奖的旅行者及时关注官方信息，并在规定时间内容工作日内提交获奖信息，逾期视为自动放弃奖励，活动奖励将在获奖信息收集完毕后通过邮寄方式送达旅行者手中，请获奖的旅行者耐心等待；
六、严禁抄袭、盗用、侵犯他人著作权，如有引用或需授权请注明来源并自行取得。",2023/4/27 12:10,21秒,https://www.douyin.com/share/video/7226577043801050405/?mid=7226577131864607543,15.33,"原神,复刻,活动",--,--,39883,1203,157,862,42105,5.32%,0,774589
