Date,粉丝总数,粉丝变化,收入,下载量
2021/6/9,5934625,10795,818311,24246
2021/6/10,5944805,11371,1595130,26748
2021/6/11,5956219,9849,875795,27391
2021/6/12,5970144,14043,536301,27308
2021/6/13,5984211,13335,454665,26459
2021/6/14,5992742,13579,417035,26456
2021/6/15,6000233,5896,345480,26090
2021/6/16,6007717,7090,297418,20776
2021/6/17,6014401,7508,241343,19678
2021/6/18,6014908,6305,215134,19086
2021/6/19,6034147,11400,200307,19299
2021/6/20,6045855,9943,209429,19164
2021/6/21,6053684,7889,184889,19364
2021/6/22,6062295,8386,176258,19877
2021/6/23,6070914,8930,170089,24348
2021/6/24,6080428,8259,151275,20141
2021/6/25,6095771,13961,129579,19261
2021/6/26,6129525,38568,136206,19769
2021/6/27,6136206,6099,144001,20106
2021/6/28,6147129,10338,155172,20205
2021/6/29,6157204,9197,1386439,19334
2021/6/30,6166379,8783,1302745,18976
2021/7/1,6177119,9993,1362075,19295
2021/7/2,6184553,7273,1185534,20292
2021/7/3,6194475,9609,895308,21499
2021/7/4,6202985,7920,752163,21805
2021/7/5,6210673,7765,660767,21604
2021/7/6,6223110,11946,618979,20716
2021/7/7,6234523,11937,553069,20172
2021/7/8,6251742,16077,534686,19992
2021/7/9,6387154,122891,424816,20171
2021/7/10,6402823,14638,381435,19975
2021/7/11,6413222,9989,381140,19812
2021/7/12,6422609,8643,324742,19559
2021/7/13,6431327,8716,298292,20731
2021/7/14,6441574,8302,285278,19429
2021/7/15,6454138,12281,304110,18943
2021/7/16,6465894,11331,275390,18208
2021/7/17,6475827,9387,270385,18267
2021/7/18,6486868,11757,338968,18793
2021/7/19,6491645,9340,345596,19144
2021/7/20,6510564,13031,305655,18880
2021/7/21,6530620,18363,1053946,27470
2021/7/22,6549227,16893,2126173,28766
2021/7/23,6566870,20659,1464644,27026
2021/7/24,6582575,13259,1382992,24614
2021/7/25,6596449,12671,1380818,24015
2021/7/26,6610667,14140,1077927,24236
2021/7/27,6623554,11607,935501,23276
2021/7/28,6636497,12551,921256,22124
2021/7/29,6646296,9034,837502,21437
2021/7/30,6656788,10434,610558,21662
2021/7/31,6667953,11031,574810,20839
2021/8/1,6679040,11150,609067,20603
2021/8/3,6702383,11461,566453,21145
2021/8/4,6718379,15927,478850,22827
2021/8/5,6740793,22344,503866,38929
2021/8/6,6758989,18192,496940,37054
2021/8/7,6775070,16107,455753,31120
2021/8/8,6788864,13743,463311,28066
2021/8/9,6807136,18301,567569,26324
2021/8/10,6827185,19992,689561,27946
2021/8/11,6844388,17131,1343347,28183
2021/8/12,6858446,14075,1123995,26773
2021/8/13,6873418,14931,902175,26018
2021/8/14,6887910,14436,581799,25407
2021/8/15,6903012,15074,474764,25845
2021/8/16,6915823,12753,432044,26408
2021/8/17,6930936,15098,459639,26402
2021/8/18,6959559,28545,420326,27277
2021/8/19,6982544,22937,360767,27849
2021/8/20,7163447,180285,303140,26117
2021/8/21,7182317,18841,470390,23939
2021/8/22,7200427,18067,468972,23851
2021/8/23,7217113,16636,409243,24806
2021/8/24,7232218,15056,363126,24553
2021/8/25,7247319,15067,339483,23896
2021/8/26,7267096,19779,310008,21671
2021/8/27,7282025,14837,263175,21125
2021/8/28,7294928,12913,304254,21392
2021/8/29,7308576,13629,344036,21081
2021/8/30,7321226,12632,412759,20538
2021/8/31,7341367,19742,500916,20975
2021/9/1,7359669,18304,1782153,28514
2021/9/2,7370396,10989,3687852,29871
2021/9/3,7387370,16710,3709822,29143
2021/9/4,7409435,20077,2505994,30718
2021/9/5,7426121,16671,2325099,32971
2021/9/6,7435329,9125,1721820,31425
2021/9/7,7443165,7703,1688002,27912
2021/9/8,7450169,7050,1557302,26564
2021/9/9,7456167,6213,1067600,27948
2021/10/5,7953109,18997,316519,28561
2021/10/6,7968270,15170,280466,28022
2021/10/7,7979097,10793,255118,26223
2021/10/8,7983391,4289,231149,24535
2021/10/9,7989793,6406,205018,19741
2021/10/10,7997984,8162,208026,23335
2021/10/11,8002367,4379,222629,28438
2021/10/12,8007332,4974,216743,32542
2021/10/13,8011218,3875,642437,31214
2021/10/14,8015963,4745,1375917,28701
2021/10/15,8024797,8828,1054346,26524
2021/10/16,8037522,12747,572489,29450
2021/10/17,8046036,8482,540461,32338
2021/10/18,8048866,2831,495122,27347
2021/10/19,8050882,2371,486011,23721
2021/10/20,8051940,2621,426299,22253
2021/10/21,8054633,2646,336005,21534
2021/10/22,8057924,3257,273471,20814
2021/10/23,8066797,8872,264060,21659
2021/10/24,8076824,9991,330543,23217
2021/10/25,8082511,3288,324247,21244
2021/10/27,8089700,3792,247432,18752
2021/11/5,8140484,5859,1641933,23987
2021/11/7,8162473,9135,948756,26900
2021/11/9,8166538,2891,695862,24400
2021/11/11,8177851,6759,660795,20960
2021/11/13,8276378,34120,695483,21839
2021/11/16,8293180,5887,650013,20497
